"time","Volt"
2023-10-10 00:02:14,0.375
2023-10-10 00:07:21,0.5625
2023-10-10 00:12:28,0.5625
2023-10-10 00:17:34,0.5625
2023-10-10 00:22:45,0.5625
2023-10-10 00:27:51,0.5625
2023-10-10 00:33:01,0.375
2023-10-10 00:38:12,0.5625
2023-10-10 00:43:11,0.5625
2023-10-10 00:48:18,0.5625
2023-10-10 00:53:28,0.5625
2023-10-10 00:58:34,0.5625
2023-10-10 01:03:40,0.5625
2023-10-10 01:08:46,0.5625
2023-10-10 01:13:51,0.5625
2023-10-10 01:19:02,0.5625
2023-10-10 01:24:12,0.375
2023-10-10 01:29:18,0.5625
2023-10-10 01:34:27,0.5625
2023-10-10 01:39:34,0.5625
2023-10-10 01:44:44,0.375
2023-10-10 01:49:53,0.5625
2023-10-10 01:55:00,0.5625
2023-10-10 02:00:06,0.5625
2023-10-10 02:05:15,0.5625
2023-10-10 02:10:28,0.375
2023-10-10 02:15:34,0.5625
2023-10-10 02:20:45,0.5625
2023-10-10 02:25:55,0.5625
2023-10-10 02:31:06,0.5625
2023-10-10 02:36:16,0.5625
2023-10-10 02:41:27,0.375
2023-10-10 02:46:35,0.5625
2023-10-10 02:51:41,0.5625
2023-10-10 02:56:47,0.5625
2023-10-10 03:01:57,0.5625
2023-10-10 03:07:06,0.5625
2023-10-10 03:12:13,0.5625
2023-10-10 03:17:23,0.5625
2023-10-10 03:22:29,0.5625
2023-10-10 03:27:39,0.5625
2023-10-10 03:32:45,0.5625
2023-10-10 03:37:56,0.5625
2023-10-10 03:43:07,0.5625
2023-10-10 03:48:19,0.5625
2023-10-10 03:53:31,0.5625
2023-10-10 03:58:43,0.5625
2023-10-10 04:03:49,0.5625
2023-10-10 04:08:54,0.5625
2023-10-10 04:13:54,0.5625
2023-10-10 04:19:06,0.5625
2023-10-10 04:24:16,0.5625
2023-10-10 04:29:23,0.5625
2023-10-10 04:34:29,0.5625
2023-10-10 04:39:39,0.5625
2023-10-10 04:44:48,0.5625
2023-10-10 04:49:55,0.375
2023-10-10 04:55:06,0.5625
2023-10-10 05:00:16,0.5625
2023-10-10 05:05:15,0.5625
2023-10-10 05:10:29,0.5625
2023-10-10 05:15:41,0.5625
2023-10-10 05:20:51,0.5625
2023-10-10 05:25:57,0.5625
2023-10-10 05:31:08,0.5625
2023-10-10 05:36:18,0.5625
2023-10-10 05:41:30,0.5625
2023-10-10 05:46:40,0.5625
2023-10-10 05:51:50,0.5625
2023-10-10 05:57:03,0.5625
2023-10-10 06:02:13,0.375
2023-10-10 06:07:19,0.5625
2023-10-10 06:12:30,0.5625
2023-10-10 06:17:40,0.5625
2023-10-10 06:22:50,0.5625
2023-10-10 06:28:01,0.5625
2023-10-10 06:33:07,0.5625
2023-10-10 06:38:18,0.5625
2023-10-10 06:43:25,0.5625
2023-10-10 06:48:35,0.5625
2023-10-10 06:53:45,0.5625
2023-10-10 06:58:51,0.5625
2023-10-10 07:03:57,0.5625
2023-10-10 07:09:02,0.5625
2023-10-10 07:14:14,0.5625
2023-10-10 07:19:19,0.5625
2023-10-10 07:24:28,0.5625
2023-10-10 07:29:40,0.5625
2023-10-10 07:34:49,0.5625
2023-10-10 07:39:55,0.5625
2023-10-10 07:45:05,0.75
2023-10-10 07:50:16,0.75
2023-10-10 07:55:28,0.9375
2023-10-10 08:00:34,0.9375
2023-10-10 08:05:46,0.9375
2023-10-10 08:10:57,0.9375
2023-10-10 08:16:04,0.9375
2023-10-10 08:21:11,0.9375
2023-10-10 08:26:16,0.9375
2023-10-10 08:31:23,1.125
2023-10-10 08:36:22,1.125
2023-10-10 08:41:34,1.125
2023-10-10 08:46:44,1.125
2023-10-10 08:51:56,1.125
2023-10-10 08:57:04,1.125
2023-10-10 09:02:11,1.125
2023-10-10 09:07:18,1.125
2023-10-10 09:12:28,1.3125
2023-10-10 09:17:33,1.3125
2023-10-10 09:22:43,1.3125
2023-10-10 09:27:50,1.3125
2023-10-10 09:32:56,1.5
2023-10-10 09:38:07,1.3125
2023-10-10 09:43:12,1.5
2023-10-10 09:48:25,1.3125
2023-10-10 09:53:34,1.3125
