"time","PAR"
2023-10-11 23:57:15,57.27539
2023-10-12 00:02:24,57.56836
2023-10-12 00:07:36,57.27539
2023-10-12 00:12:45,57.27539
2023-10-12 00:17:57,57.42188
2023-10-12 00:23:04,57.56836
2023-10-12 00:28:16,57.86133
2023-10-12 00:33:25,57.56836
2023-10-12 00:38:36,56.98242
2023-10-12 00:43:45,57.12891
2023-10-12 00:48:56,57.71484
2023-10-12 00:54:10,58.007810000000006
2023-10-12 00:59:16,57.12891
2023-10-12 01:04:15,57.12891
2023-10-12 01:24:37,57.71484
2023-10-12 01:45:33,58.154300000000006
2023-10-12 02:06:23,57.27539
2023-10-12 02:26:56,58.300779999999996
2023-10-12 02:48:09,57.42188
2023-10-12 03:08:34,57.12891
2023-10-12 03:29:06,56.689449999999994
2023-10-12 03:50:09,58.154300000000006
2023-10-12 04:10:51,58.300779999999996
2023-10-12 04:31:23,57.71484
2023-10-12 04:52:20,57.42188
2023-10-12 05:13:18,58.300779999999996
2023-10-12 05:18:19,57.71484
2023-10-12 05:39:15,58.300779999999996
2023-10-12 05:59:55,56.98242
2023-10-12 06:20:51,58.300779999999996
2023-10-12 06:42:19,59.033199999999994
2023-10-12 07:02:54,57.86133
2023-10-12 07:23:26,66.79688
2023-10-12 07:44:26,80.27344
2023-10-12 08:04:57,112.5
2023-10-12 08:25:25,150.14648
2023-10-12 08:46:23,187.5
2023-10-12 09:06:57,224.70702999999997
2023-10-12 09:27:33,318.75
2023-10-12 09:48:34,265.86914
2023-10-12 10:09:08,337.20703
2023-10-12 10:29:36,401.07422
2023-10-12 10:50:33,464.20898
2023-10-12 11:11:30,443.70117000000005
2023-10-12 11:31:59,431.68945
2023-10-12 11:52:57,375.0
2023-10-12 12:13:30,393.89648
2023-10-12 12:33:58,382.32422
2023-10-12 12:55:06,410.74219000000005
2023-10-12 13:16:01,431.10352
2023-10-12 13:36:28,487.5
2023-10-12 13:57:26,375.14648
2023-10-12 14:02:26,413.52539
2023-10-12 14:23:00,390.9668
2023-10-12 14:43:56,211.52344
2023-10-12 15:04:27,206.25
2023-10-12 15:25:04,225.0
2023-10-12 15:46:03,112.5
2023-10-12 16:06:42,100.34179999999999
2023-10-12 16:27:27,115.57617
